x,y
307,0.57991
308,0.345215
309,-0.0954437
310,-0.475998
311,-0.581909
312,-0.343658
313,0.0937653
314,0.476761
315,0.581512
316,0.342957
317,-0.092865
318,-0.478577
319,-0.579849
320,-0.34494
321,0.0940857
322,0.477417
323,0.57991
324,0.345215
325,-0.0954437
326,-0.475998
327,-0.581909
328,-0.343658
329,0.0937653
330,0.476761
331,0.581512
332,0.342957
333,-0.092865
334,-0.478577
335,-0.579849
336,-0.34494
337,0.0940857
338,0.477417
339,0.57991
340,0.345215
341,-0.0954437
342,-0.475998
343,-0.581909
344,-0.343658
345,0.0937653
346,0.476761
347,0.581512
348,0.342957
349,-0.092865
350,-0.478577
351,-0.579849
352,-0.34494
353,0.0940857
354,0.477417
355,0.57991
356,0.345215
357,-0.0954437
358,-0.475998
359,-0.581909
360,-0.343658
361,0.0937653
362,0.476761
363,0.581512
364,0.342957
365,-0.092865
366,-0.478577
367,-0.579849
368,-0.34494
369,0.0940857
370,0.477417
371,0.57991
372,0.345215
373,-0.095459
374,-0.476013
375,-0.581924
376,-0.343658
377,0.0937653
378,0.476761
379,0.581528
380,0.342957
381,-0.0928497
382,-0.478592
383,-0.579849
384,-0.344925
385,0.0940857
386,0.477417
387,0.57991
388,0.345215
389,-0.095459
390,-0.476013
391,-0.581909
392,-0.343643
393,0.0937805
394,0.476746
395,0.581512
396,0.342957
397,-0.092865
398,-0.478577
399,-0.579849
400,-0.34494
401,0.0940857
402,0.477417
403,0.57991
404,0.345215
405,-0.0954437
406,-0.475998
407,-0.581909
408,-0.343658
409,0.0937653
410,0.476761
411,0.581512
412,0.342957
413,-0.092865
414,-0.478577
415,-0.579849
416,-0.34494
417,0.0940857
418,0.477417
419,0.57991
420,0.345215
421,-0.0954437
422,-0.475998
423,-0.581909
424,-0.343658
425,0.0937653
426,0.476761
427,0.581512
428,0.342957
429,-0.092865
430,-0.478577
431,-0.579849
432,-0.34494
433,0.0940857
434,0.477417
435,0.57991
436,0.345215
437,-0.0954437
438,-0.475998
439,-0.581909
440,-0.343658
441,0.0937653
442,0.476761
443,0.581512
444,0.342957
445,-0.092865
446,-0.478577
447,-0.579849
448,-0.34494
449,0.0940857
450,0.477417
451,0.57991
452,0.345215
453,-0.0954437
454,-0.475998
455,-0.581909
456,-0.343658
457,0.0937653
458,0.476761
459,0.581512
460,0.342957
461,-0.092865
462,-0.478577
463,-0.579849
464,-0.34494
465,0.0940857
466,0.477417
467,0.57991
468,0.345215
469,-0.0954437
470,-0.475998
471,-0.581909
472,-0.343658
473,0.0937653
474,0.476761
475,0.581512
476,0.342957
477,-0.092865
478,-0.478577
479,-0.579849
480,-0.34494
481,0.0940857
482,0.477417
483,0.57991
484,0.345215
485,-0.095459
486,-0.476013
487,-0.581924
488,-0.343658
489,0.0937653
490,0.476761
491,0.581528
492,0.342957
493,-0.0928497
494,-0.478592
495,-0.579849
496,-0.344925
