x,y,z
236,2.8373e-27,-0.000555556
237,-5.99185e-27,0.000555556
238,-8.29341e-27,-0.000555556
239,-5.52765e-27,0.000555556
240,-1.10436e-27,-0.000555556
241,2.10179e-27,0.000555556
242,2.97459e-27,-0.000555556
243,2.01097e-27,0.000555556
244,4.27316e-28,-0.000555556
245,-7.36535e-28,0.000555556
246,-1.06658e-27,-0.000555556
247,-7.31315e-28,0.000555556
248,-1.645e-28,-0.000555556
249,2.57839e-28,0.000555556
250,3.82323e-28,-0.000555556
251,2.65852e-28,0.000555556
252,6.30431e-29,-0.000555556
253,-9.01636e-29,0.000555556
254,-1.37006e-28,-0.000555556
255,-9.66082e-29,0.000555556
256,-2.40656e-29,-0.000555556
257,3.14928e-29,0.000555556
258,4.90814e-29,-0.000555556
259,3.50939e-29,0.000555556
260,9.15442e-30,-0.000555556
261,-1.09865e-29,0.000555556
262,-1.75778e-29,-0.000555556
263,-1.27437e-29,0.000555556
264,-3.47137e-30,-0.000555556
265,3.8277e-30,0.000555556
266,6.29329e-30,-0.000555556
267,4.626e-30,0.000555556
268,1.31263e-30,-0.000555556
269,-1.33171e-30,0.000555556
270,-2.25246e-30,-0.000555556
271,-1.67868e-30,0.000555556
272,-4.9507e-31,-0.000555556
273,4.62629e-31,0.000555556
274,8.05934e-31,-0.000555556
275,6.0895e-31,0.000555556
276,1.86284e-31,-0.000555556
277,-1.60457e-31,0.000555556
278,-2.88273e-31,-0.000555556
279,-2.20826e-31,0.000555556
280,-6.99451e-32,-0.000555556
281,5.55562e-32,0.000555556
282,1.03079e-31,-0.000555556
283,8.00531e-32,0.000555556
284,2.6211e-32,-0.000555556
285,-1.91997e-32,0.000555556
286,-3.68463e-32,-0.000555556
287,-2.90111e-32,0.000555556
288,-9.80443e-33,-0.000555556
289,6.62179e-33,0.000555556
290,1.31666e-32,-0.000555556
291,1.05102e-32,0.000555556
292,3.66126e-33,-0.000555556
293,-2.27874e-33,0.000555556
294,-4.70337e-33,-0.000555556
295,-3.80647e-33,0.000555556
296,-1.36509e-33,-0.000555556
297,7.82282e-34,0.000555556
298,1.67956e-33,-0.000555556
299,1.37815e-33,0.000555556
300,5.08227e-34,-0.000555556
301,-2.6784e-34,0.000555556
302,-5.99561e-34,-0.000555556
303,-4.98813e-34,0.000555556
304,-1.88957e-34,-0.000555556
305,9.14343e-35,0.000555556
306,2.13952e-34,-0.000555556
307,1.80487e-34,0.000555556
308,7.01642e-35,-0.000555556
309,-3.11115e-35,0.000555556
310,-7.63212e-35,-0.000555556
311,-6.52864e-35,0.000555556
312,-2.60223e-35,-0.000555556
313,1.05473e-35,0.000555556
314,2.72154e-35,-0.000555556
315,2.36086e-35,0.000555556
316,9.64019e-36,-0.000555556
317,-3.56093e-36,0.000555556
318,-9.70114e-36,-0.000555556
319,-8.53469e-36,0.000555556
320,-3.56748e-36,-0.000555556
321,1.19659e-36,0.000555556
322,3.45674e-36,-0.000555556
323,3.08446e-36,0.000555556
324,1.31886e-36,-0.000555556
325,-3.99927e-37,0.000555556
326,-1.23124e-36,-0.000555556
327,-1.1144e-36,0.000555556
328,-4.87102e-37,-0.000555556
329,1.3283e-37,0.000555556
330,4.38374e-37,-0.000555556
331,4.02514e-37,0.000555556
332,1.7974e-37,-0.000555556
333,-4.37936e-38,0.000555556
334,-1.56017e-37,-0.000555556
335,-1.45343e-37,0.000555556
336,-6.62667e-38,-0.000555556
337,1.43123e-38,0.000555556
338,5.55035e-38,-0.000555556
339,5.24665e-38,0.000555556
340,2.44111e-38,-0.000555556
341,-4.62775e-39,0.000555556
342,-1.97372e-38,-0.000555556
343,-1.89342e-38,0.000555556
344,-8.98535e-39,-0.000555556
345,1.47665e-39,0.000555556
346,7.01552e-39,-0.000555556
347,6.83109e-39,0.000555556
348,3.30488e-39,-0.000555556
349,-4.63282e-40,0.000555556
350,-2.49254e-39,-0.000555556
351,-2.46382e-39,0.000555556
352,-1.21468e-39,-0.000555556
353,1.42143e-40,0.000555556
354,8.85168e-40,-0.000555556
355,8.88398e-40,0.000555556
356,4.46138e-40,-0.000555556
